"id","productId","code","name","days","limited","fup","data","dailyDataCap","reducedSpeed","price","reloadable","countryCodes","networks","networkSpeed","apn","hotspot","activation","delivery","seoText","planType","localNumber","eKYC","uniqueName","isPopular","supplier"
"19304","WM-e-CHM-T3-7D","LeSIM-10230007","China, Hong Kong, Macao","7","true","3 GB","3","","128","126","false","[""CN"",""HK"",""MO""]","[""China Unicom (China)"",""CSL (Hong Kong)"",""CTM (Macau)""]","5G/4G","mobile","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-chm-t3-7d-china-hong-kong-macao-7-3-gb","false","WM"
"19305","WM-e-CHM-T3-10D","LeSIM-10230010","China, Hong Kong, Macao","10","true","3 GB","3","","128","136","false","[""CN"",""HK"",""MO""]","[""China Unicom (China)"",""CSL (Hong Kong)"",""CTM (Macau)""]","5G/4G","mobile","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-chm-t3-10d-china-hong-kong-macao-10-3-gb","false","WM"
"19306","WM-e-CHM-T3-15D","LeSIM-10230015","China, Hong Kong, Macao","15","true","3 GB","3","","128","144","false","[""CN"",""HK"",""MO""]","[""China Unicom (China)"",""CSL (Hong Kong)"",""CTM (Macau)""]","5G/4G","mobile","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-chm-t3-15d-china-hong-kong-macao-15-3-gb","false","WM"
"19307","WM-e-CHM-T3-30D","LeSIM-10230030","China, Hong Kong, Macao","30","true","3 GB","3","","128","152","false","[""CN"",""HK"",""MO""]","[""China Unicom (China)"",""CSL (Hong Kong)"",""CTM (Macau)""]","5G/4G","mobile","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-chm-t3-30d-china-hong-kong-macao-30-3-gb","false","WM"
"19308","WM-e-CHMT-T10-90D","LeSIM-wm01430090","China, Hong Kong, Macao, Taiwan","90","true","10 GB","10","","128","488","false","[""CN"",""HK"",""MO"",""TW""]","[""China Unicom (China)"",""CSL (Hong Kong)"",""CTM (Macau)""]","5G/4G","mobile","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-chmt-t10-90d-china-hong-kong-macao-taiwan-90-10-gb","false","WM"
"19309","WM-e-CHMT-T20-90D","LeSIM-wm01440090","China, Hong Kong, Macao, Taiwan","90","true","20 GB","20","","128","924","false","[""CN"",""HK"",""MO"",""TW""]","[""China Unicom (China)"",""CSL (Hong Kong)"",""CTM (Macau)""]","5G/4G","mobile","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-chmt-t20-90d-china-hong-kong-macao-taiwan-90-20-gb","false","WM"
"19310","WM-e-CHMT-T50-90D","LeSIM-wm01450090","China, Hong Kong, Macao, Taiwan","90","true","50 GB","50","","128","2252","false","[""CN"",""HK"",""MO"",""TW""]","[""China Unicom (China)"",""CSL (Hong Kong)"",""CTM (Macau)""]","5G/4G","mobile","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-chmt-t50-90d-china-hong-kong-macao-taiwan-90-50-gb","false","WM"
"19311","WM-e-J1-DTAC219","eSIM-DTAC219","DTAC Happy Tourist219 DTAC Thailand Happy Tourist219","7","true","15","15","","1000","236","false","[""TH""]","[""（Thailand）DTAC""]","5G/4G","www.dtac.co.th","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","Yes","","wm-wm-e-j1-dtac219-dtac-happy-tourist219-dtac-thailand-happy-tourist219-7-15","false","WM"
"19312","WM-e-J1-DTAC349","eSIM-DTAC349","DTAC Happy Tourist 349 DTAC Thailand Happy Tourist 349","10","true","50","50","","1000","244","false","[""TH""]","[""（Thailand）DTAC""]","4G","www.dtac.co.th","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","Yes","","wm-wm-e-j1-dtac349-dtac-happy-tourist-349-dtac-thailand-happy-tourist-349-10-50","false","WM"
"19313","WM-e-J1-DTAC449","eSIM-DTAC449","DTAC Happy Tourist 449 DTAC Thailand Happy Tourist 449","8","false","Unlimited","0","","1000","370","false","[""TH""]","[""（Thailand）DTAC""]","5G","www.dtac.co.th","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","Yes","","wm-wm-e-j1-dtac449-dtac-happy-tourist-449-dtac-thailand-happy-tourist-449-8-unlimited","false","WM"
"19314","WM-e-J1-DTAC699","eSIM-DTAC699","DTAC, Happy Tourist 699 DTAC Thailand Happy Tourist 699","15","false","Unlimited","0","","1000","0","false","[""TH""]","[""（Thailand）DTAC""]","5G","www.dtac.co.th","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","Yes","","wm-wm-e-j1-dtac699-dtac-happy-tourist-699-dtac-thailand-happy-tourist-699-15-unlimited","false","WM"
